id,title,condition,thumbnail_id,catalog_product_id,listing_type_id,permalink,buying_mode,price,currency_id,condicion_item,unico_dueno,control_traccion,aire_acondicionado,cilindros,cilindrada,capacidad_personas,marca,puertas,motor,tipo_combustible,kilometros,modelo
MLA1371722611,Toyota Etios Xls 1.5 - Darc Autos Usados,used,893608-MLA69776419197_062023,MLA15519769,gold_premium,https://auto.mercadolibre.com.ar/MLA-1371722611-toyota-etios-xls-15-darc-autos-usados-_JM,classified,6690000,ARS,Usado,Delantera,1496 cc,4265 mm,5,103 hp,Toyota,4,1.5,Nafta,9308 km,Etios,Manual
MLA1370224033,Toyota Etios Xls 308 408 208 Voyage Prisma Cronos Fiesta Fit,used,761884-MLA69482296372_052023,MLA8906127,gold_premium,https://auto.mercadolibre.com.ar/MLA-1370224033-toyota-etios-xls-308-408-208-voyage-prisma-cronos-fiesta-fit-_JM,classified,4888900,ARS,Usado,Sí,Delantera,Sí,1496 cc,4265 mm,5,103 hp,Toyota,4,1.5,Nafta/GNC,72000 km
MLA1436485802,Toyota Etios 1.5 Xls,used,865772-MLA54617727945_032023,MLA15204808,gold_premium,https://auto.mercadolibre.com.ar/MLA-1436485802-toyota-etios-15-xls-_JM,classified,4500000,ARS,Usado,No,Delantera,Sí,1496 cc,3893 mm,5,90 hp,Toyota,5,1.5,Nafta,75000 km
MLA1424645124,Toyota Etios 5p Xls At6,new,765257-MLA54454414352_032023,MLA21093091,gold_premium,https://auto.mercadolibre.com.ar/MLA-1424645124-toyota-etios-5p-xls-at6-_JM,classified,5805000,ARS,Nuevo,Delantera,1496 cc,4265 mm,5,103 hp,Toyota,5,1.5,Nafta,0 km,Etios,Automática
MLA1324385813,Toyota Etios 1.5 Xls Pack Automatico 4 Puertas My23,new,847306-MLA53496637058_012023,MLA21092314,gold_premium,https://auto.mercadolibre.com.ar/MLA-1324385813-toyota-etios-15-xls-pack-automatico-4-puertas-my23-_JM,classified,5922000,ARS,Nuevo,Delantera,1496 cc,4265 mm,5,103 hp,Toyota,4,1.5,Nafta,0 km,Etios,Automática
MLA1313697087,Toyota Etios Xls Pack Manual 4 Puertas My23,new,849872-MLA53337292238_012023,MLA21093697,gold_premium,https://auto.mercadolibre.com.ar/MLA-1313697087-toyota-etios-xls-pack-manual-4-puertas-my23-_JM,classified,5665000,ARS,Nuevo,Delantera,1496 cc,4265 mm,5,103 hp,Toyota,4,1.5,Nafta,0 km,Etios,Manual
MLA1313299499,Toyota Etios X Manual 4 Puertas My23,new,807960-MLA53337048167_012023,MLA21092468,gold_premium,https://auto.mercadolibre.com.ar/MLA-1313299499-toyota-etios-x-manual-4-puertas-my23-_JM,classified,4838000,ARS,Nuevo,Delantera,1496 cc,4265 mm,5,103 hp,Toyota,4,1.5,Nafta,0 km,Etios,Manual
MLA1313527947,Toyota Etios X Manual 5 Puertas My23,new,964143-MLA53334880589_012023,MLA21092578,gold_premium,https://auto.mercadolibre.com.ar/MLA-1313527947-toyota-etios-x-manual-5-puertas-my23-_JM,classified,4638000,ARS,Nuevo,Delantera,1496 cc,4265 mm,5,103 hp,Toyota,5,1.5,Nafta,0 km,Etios,Manual
MLA1311978697,Toyota Etios 1.5 X 5p 0km 2023,new,741740-MLA53313646502_012023,MLA21092578,gold_premium,https://auto.mercadolibre.com.ar/MLA-1311978697-toyota-etios-15-x-5p-0km-2023-_JM,classified,4638000,ARS,Nuevo,Delantera,1496 cc,4265 mm,5,103 hp,Toyota,5,1.5,Nafta,0 km,Etios,Manual
MLA1311913944,Toyota Etios 1.5 Xls Pack At 4p Sedan 2023 0km,new,737079-MLA53313559371_012023,MLA21092314,gold_premium,https://auto.mercadolibre.com.ar/MLA-1311913944-toyota-etios-15-xls-pack-at-4p-sedan-2023-0km-_JM,classified,5922000,ARS,Nuevo,Delantera,1496 cc,4265 mm,5,103 hp,Toyota,4,1.5,Nafta,0 km,Etios,Automática
MLA1311939965,Toyota Etios 1.5 Xls Pack Mt 4p Sedan 0km 2023,new,645626-MLA53313541139_012023,MLA21093697,gold_premium,https://auto.mercadolibre.com.ar/MLA-1311939965-toyota-etios-15-xls-pack-mt-4p-sedan-0km-2023-_JM,classified,5665000,ARS,Nuevo,Delantera,1496 cc,4265 mm,5,103 hp,Toyota,4,1.5,Nafta,0 km,Etios,Manual
